,ds,dv,dt,method,acc
283,TinyImagenet,NotMNIST,FashionMNIST,NeuronActivationPatterns/Resnet,0.8865
284,TinyImagenet,NotMNIST,CIFAR10,NeuronActivationPatterns/Resnet,0.8113
285,TinyImagenet,NotMNIST,CIFAR100,NeuronActivationPatterns/Resnet,0.812582
286,TinyImagenet,NotMNIST,STL10,NeuronActivationPatterns/Resnet,0.580875
287,TinyImagenet,CIFAR10,UniformNoise,NeuronActivationPatterns/Resnet,0.8786
288,TinyImagenet,CIFAR10,NormalNoise,NeuronActivationPatterns/Resnet,0.86505
289,TinyImagenet,CIFAR10,MNIST,NeuronActivationPatterns/Resnet,0.8979
290,TinyImagenet,CIFAR10,FashionMNIST,NeuronActivationPatterns/Resnet,0.8777
291,TinyImagenet,CIFAR10,NotMNIST,NeuronActivationPatterns/Resnet,0.877804
292,TinyImagenet,CIFAR10,CIFAR100,NeuronActivationPatterns/Resnet,0.825055
293,TinyImagenet,CIFAR10,STL10,NeuronActivationPatterns/Resnet,0.607375
294,TinyImagenet,CIFAR100,UniformNoise,NeuronActivationPatterns/Resnet,0.87985
295,TinyImagenet,CIFAR100,NormalNoise,NeuronActivationPatterns/Resnet,0.86295
296,TinyImagenet,CIFAR100,MNIST,NeuronActivationPatterns/Resnet,0.8979
297,TinyImagenet,CIFAR100,FashionMNIST,NeuronActivationPatterns/Resnet,0.8777
298,TinyImagenet,CIFAR100,NotMNIST,NeuronActivationPatterns/Resnet,0.877804
299,TinyImagenet,CIFAR100,CIFAR10,NeuronActivationPatterns/Resnet,0.8196
300,TinyImagenet,CIFAR100,STL10,NeuronActivationPatterns/Resnet,0.607375
301,TinyImagenet,STL10,UniformNoise,NeuronActivationPatterns/Resnet,0.82315
302,TinyImagenet,STL10,NormalNoise,NeuronActivationPatterns/Resnet,0.82435
303,TinyImagenet,STL10,MNIST,NeuronActivationPatterns/Resnet,0.8253
304,TinyImagenet,STL10,FashionMNIST,NeuronActivationPatterns/Resnet,0.81845
305,TinyImagenet,STL10,NotMNIST,NeuronActivationPatterns/Resnet,0.813715
306,TinyImagenet,STL10,CIFAR10,NeuronActivationPatterns/Resnet,0.7918
307,TinyImagenet,STL10,CIFAR100,NeuronActivationPatterns/Resnet,0.794066
