,ds,dv,dt,method,acc
222,MNIST,TinyImagenet,CIFAR100,MCDropout-7/MNIST_Simple,0.9845499992370605
223,MNIST,TinyImagenet,STL10,MCDropout-7/MNIST_Simple,0.9796875715255737
224,MNIST,UniformNoise,NormalNoise,PixelCNN/PixelCNN,1.0
225,MNIST,UniformNoise,FashionMNIST,PixelCNN/PixelCNN,0.6626999974250793
226,MNIST,UniformNoise,NotMNIST,PixelCNN/PixelCNN,0.6480987071990967
227,MNIST,UniformNoise,CIFAR10,PixelCNN/PixelCNN,0.9992499947547913
228,MNIST,UniformNoise,CIFAR100,PixelCNN/PixelCNN,0.9973999857902527
229,MNIST,UniformNoise,STL10,PixelCNN/PixelCNN,0.9995625615119934
230,MNIST,UniformNoise,TinyImagenet,PixelCNN/PixelCNN,0.9991499781608582
231,MNIST,NormalNoise,UniformNoise,PixelCNN/PixelCNN,1.0
232,MNIST,NormalNoise,FashionMNIST,PixelCNN/PixelCNN,0.702049970626831
233,MNIST,NormalNoise,NotMNIST,PixelCNN/PixelCNN,0.692052960395813
234,MNIST,NormalNoise,CIFAR10,PixelCNN/PixelCNN,0.9994499683380127
235,MNIST,NormalNoise,CIFAR100,PixelCNN/PixelCNN,0.9980999827384949
236,MNIST,NormalNoise,STL10,PixelCNN/PixelCNN,0.999625027179718
237,MNIST,NormalNoise,TinyImagenet,PixelCNN/PixelCNN,0.9993000030517578
238,MNIST,FashionMNIST,UniformNoise,PixelCNN/PixelCNN,0.9994499683380127
239,MNIST,FashionMNIST,NormalNoise,PixelCNN/PixelCNN,0.9994499683380127
240,MNIST,FashionMNIST,NotMNIST,PixelCNN/PixelCNN,0.9903866648674011
241,MNIST,FashionMNIST,CIFAR10,PixelCNN/PixelCNN,0.9994499683380127
242,MNIST,FashionMNIST,CIFAR100,PixelCNN/PixelCNN,0.9994499683380127
243,MNIST,FashionMNIST,STL10,PixelCNN/PixelCNN,0.9994375705718994
244,MNIST,FashionMNIST,TinyImagenet,PixelCNN/PixelCNN,0.9994499683380127
245,MNIST,NotMNIST,UniformNoise,PixelCNN/PixelCNN,0.9987999796867371
246,MNIST,NotMNIST,NormalNoise,PixelCNN/PixelCNN,0.9987999796867371
247,MNIST,NotMNIST,FashionMNIST,PixelCNN/PixelCNN,0.9969499707221985
248,MNIST,NotMNIST,CIFAR10,PixelCNN/PixelCNN,0.9987999796867371
249,MNIST,NotMNIST,CIFAR100,PixelCNN/PixelCNN,0.9987999796867371
250,MNIST,NotMNIST,STL10,PixelCNN/PixelCNN,0.999000072479248
251,MNIST,NotMNIST,TinyImagenet,PixelCNN/PixelCNN,0.9987999796867371
252,MNIST,CIFAR10,UniformNoise,PixelCNN/PixelCNN,1.0
253,MNIST,CIFAR10,NormalNoise,PixelCNN/PixelCNN,1.0
254,MNIST,CIFAR10,FashionMNIST,PixelCNN/PixelCNN,0.8652499914169312
255,MNIST,CIFAR10,NotMNIST,PixelCNN/PixelCNN,0.9162037968635559
256,MNIST,CIFAR10,CIFAR100,PixelCNN/PixelCNN,0.9998999834060669
257,MNIST,CIFAR10,STL10,PixelCNN/PixelCNN,0.9998750686645508
258,MNIST,CIFAR10,TinyImagenet,PixelCNN/PixelCNN,0.9998499751091003
259,MNIST,CIFAR100,UniformNoise,PixelCNN/PixelCNN,1.0
260,MNIST,CIFAR100,NormalNoise,PixelCNN/PixelCNN,1.0
261,MNIST,CIFAR100,FashionMNIST,PixelCNN/PixelCNN,0.8208999633789062
262,MNIST,CIFAR100,NotMNIST,PixelCNN/PixelCNN,0.8670156002044678
263,MNIST,CIFAR100,CIFAR10,PixelCNN/PixelCNN,0.9998999834060669
264,MNIST,CIFAR100,STL10,PixelCNN/PixelCNN,0.9998125433921814
265,MNIST,CIFAR100,TinyImagenet,PixelCNN/PixelCNN,0.9997499585151672
266,MNIST,STL10,UniformNoise,PixelCNN/PixelCNN,1.0
267,MNIST,STL10,NormalNoise,PixelCNN/PixelCNN,1.0
268,MNIST,STL10,FashionMNIST,PixelCNN/PixelCNN,0.7493999600410461
269,MNIST,STL10,NotMNIST,PixelCNN/PixelCNN,0.7616428136825562
270,MNIST,STL10,CIFAR10,PixelCNN/PixelCNN,0.9996500015258789
271,MNIST,STL10,CIFAR100,PixelCNN/PixelCNN,0.9989499449729919
272,MNIST,STL10,TinyImagenet,PixelCNN/PixelCNN,0.9994999766349792
273,MNIST,TinyImagenet,UniformNoise,PixelCNN/PixelCNN,1.0
274,MNIST,TinyImagenet,NormalNoise,PixelCNN/PixelCNN,1.0
275,MNIST,TinyImagenet,FashionMNIST,PixelCNN/PixelCNN,0.774899959564209
276,MNIST,TinyImagenet,NotMNIST,PixelCNN/PixelCNN,0.8012176752090454
277,MNIST,TinyImagenet,CIFAR10,PixelCNN/PixelCNN,0.9996999502182007
278,MNIST,TinyImagenet,CIFAR100,PixelCNN/PixelCNN,0.9993000030517578
279,MNIST,TinyImagenet,STL10,PixelCNN/PixelCNN,0.9998125433921814
280,MNIST,UniformNoise,NormalNoise,ScoreSVM/VGG,0.9835999608039856
281,MNIST,UniformNoise,FashionMNIST,ScoreSVM/VGG,0.9527499675750732
282,MNIST,UniformNoise,NotMNIST,ScoreSVM/VGG,0.807359516620636
283,MNIST,UniformNoise,CIFAR10,ScoreSVM/VGG,0.9675999879837036
284,MNIST,UniformNoise,CIFAR100,ScoreSVM/VGG,0.9517499804496765
285,MNIST,UniformNoise,STL10,ScoreSVM/VGG,0.9698125720024109
286,MNIST,UniformNoise,TinyImagenet,ScoreSVM/VGG,0.9673999547958374
287,MNIST,NormalNoise,UniformNoise,ScoreSVM/VGG,0.9859499931335449
288,MNIST,NormalNoise,FashionMNIST,ScoreSVM/VGG,0.9489499926567078
289,MNIST,NormalNoise,NotMNIST,ScoreSVM/VGG,0.7516022324562073
290,MNIST,NormalNoise,CIFAR10,ScoreSVM/VGG,0.9679999947547913
291,MNIST,NormalNoise,CIFAR100,ScoreSVM/VGG,0.9470999836921692
292,MNIST,NormalNoise,STL10,ScoreSVM/VGG,0.9727500677108765
293,MNIST,NormalNoise,TinyImagenet,ScoreSVM/VGG,0.9693999886512756
294,MNIST,FashionMNIST,UniformNoise,ScoreSVM/VGG,0.9781999588012695
295,MNIST,FashionMNIST,NormalNoise,ScoreSVM/VGG,0.9784999489784241
296,MNIST,FashionMNIST,NotMNIST,ScoreSVM/VGG,0.8376949429512024
297,MNIST,FashionMNIST,CIFAR10,ScoreSVM/VGG,0.9784500002861023
298,MNIST,FashionMNIST,CIFAR100,ScoreSVM/VGG,0.9782499670982361
299,MNIST,FashionMNIST,STL10,ScoreSVM/VGG,0.9766875505447388
300,MNIST,FashionMNIST,TinyImagenet,ScoreSVM/VGG,0.977899968624115
301,MNIST,NotMNIST,UniformNoise,ScoreSVM/VGG,0.9531999826431274
302,MNIST,NotMNIST,NormalNoise,ScoreSVM/VGG,0.9531999826431274
303,MNIST,NotMNIST,FashionMNIST,ScoreSVM/VGG,0.9465499520301819
304,MNIST,NotMNIST,CIFAR10,ScoreSVM/VGG,0.9531999826431274
305,MNIST,NotMNIST,CIFAR100,ScoreSVM/VGG,0.9531999826431274
306,MNIST,NotMNIST,STL10,ScoreSVM/VGG,0.9488125443458557
